V_gc_1,current_1,unc_1,V_gc_2,current_2,unc_2,V_gc_3,current_3,unc_3
0.042,0.01,0.02,0.0412,-0.001,0.003,5,-0.001,0.001
1.056,-0.01,0.02,5,-0.002,0.003,9.99,-0.04,0.03
2.021,0.01,0.02,10.01,-0.04,0.02,11.01,-0.2,0.1
3.027,0.01,0.02,11,-0.015,0.04,12,-14,0.2
4.02,0.01,0.02,12,-24,1,13,-22,1
4.5,0.02,0.02,12.98,-37,2,13.99,-35,2
4.67,-0.01,0.02,14,-63,2,15,-49.8,0.5
4.91,-0.01,0.02,15,-79.5,0.5,16,-59.3,0.4
5.07,0,0.02,16,-93.8,0.4,17,-67.1,0.3
5.26,0.01,0.02,17,-104.8,0.2,18,-73.8,0.2
5.51,-0.01,0.02,18,-112.1,0.3,18.99,-86.3,0.3
6.01,0,0.02,19,-125,0.01,20,-100.3,0.3
7.09,0,0.02,20.01,-139.9,0.005,21,-118.1,0.1
8.06,-0.01,0.02,21,-143.8,0.5,21.99,-127.7,0.1
9.02,-0.01,0.02,22.03,-158.7,0.1,23,-135.7,0.1
10.02,-0.01,0.02,23.03,-169.3,0.1,24,-143.5,0.1
11,-0.05,1,24.01,-177.3,0.1,25,-150.3,0.2
12.05,-4.49,1,25,-183,0.1,26.03,-158.2,0.1
13.03,-8.8,1,26.02,-191.8,0.1,27.01,-164,0.2
14.01,-12.1,1,26.99,-198.4,0.1,28,-171.3,0.2
15.01,-15.1,1,28,-207.4,0.2,29,-180.9,0.1
16.03,-18.8,0.3,29,-214.3,0.3,30,-189.2,0.3
17.08,-22.3,0.3,30,-222.7,0.1,31.02,-196.7,0.3
18.07,-23.6,0.1,31,-232.8,0.3,32,-202.3,0.1
19.12,-25.8,0.1,32,-249,0.3,33,-207.5,0.3
20.11,-29.4,0.1,33.01,-251.5,0.2,34,-210.9,0.3
21.12,-35.1,0.2,34,-262.3,0.1,35,-218,0.2
22.4,-44.3,0.2,34.99,-271,0.2,36,-227.3,0.1
23.07,-46.1,0.2,36,-269.2,0.1,36.99,-233.6,0.3
24.33,-51.4,0.1,37,-278,0.2,38.01,-240.3,0.3
25.07,-51.8,0.1,38.01,-278,1,39.01,-247.8,0.3
26.07,-56.7,0.1,39,-281.5,0.3,40.01,-257.7,2
27.14,-59.6,0.2,40,-285.6,0.2,41,-267.5,0.2
28.1,-67.2,0.2,41.01,-297.2,0.3,42,-275.8,0.3
29.13,-74.4,0.2,41.99,-304.3,0.3,43,-283,0.3
29.97,-77.4,0.2,42.99,-303.5,1,44,-290.8,0.2
31.13,-82.3,0.2,,,,44.99,-297.3,0.2
32.1,-85.4,0.2,,,,45.97,-304.2,0.1
33.3,-91.6,0.2,,,,47.05,-312.4,0.2
34.1,-96,0.1,,,,47.98,-319.9,0.2
35.1,-102.6,0.1,,,,49.05,-330.5,0.1
36,-107.4,0.2,,,,49.98,-339,0.1
37,-113,0.3,,,,,,
38,-118.9,0.2,,,,,,
39.1,-125.6,0.2,,,,,,
40,-131.8,0.2,,,,,,
41,-139,0.2,,,,,,
42,-146.1,0.1,,,,,,
43,-153,0.2,,,,,,
44,-159.6,0.2,,,,,,
45.1,-166.6,0.1,,,,,,
46.3,-175.8,0.2,,,,,,
47.3,-182,0.1,,,,,,
48,-187.2,0.2,,,,,,
49,-194.3,0.2,,,,,,
50,-202.1,0.2,,,,,,
50.9,-209.8,0.2,,,,,,
52.1,-221.5,0.1,,,,,,
53,-229.9,0.2,,,,,,
54.1,-210,1,,,,,,
55,-214,1,,,,,,
56.4,-225,1,,,,,,
57,-224,1,,,,,,
58,-230,1,,,,,,
58.6,-234,1,,,,,,
